year,branch,gender,type,tenth,twelve,higher_education,take_notes,prefer_tostudy,hoursstudy,time_relaxing,studymode,active_backlogs,backlog_history,participate_activities,attendance,cgpa,cgpaup,backlog,grade
4,CSE,Male,H,93,93,Maybe,No,Just before exam,0,>5 hours,Online Tutorials,4 & above,6,Occasionally,80-90,5,5,4,Low
4,CSE,Male,H,97,97.6,Maybe,Occasionally,Daily,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90,9.27,9.27,0,Excellent
4,CSE,Male,D,88,94.2,Maybe,Occasionally,Just before exam,0,>5 hours,Class notes,0,4,Occasionally,80-90,6.2,6.2,0,Below_average
4,CSE,Male,D,88,96.7,Maybe,Yes,Daily,2,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,above 90,7.36,7.36,0,Average
4,CSE,Male,H,97,93.5,No,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90,8.06,8.06,0,Good
4,CSE,Female,D,95,96.2,Yes,Yes,Daily,3,2-5 hours,"Online Tutorials, Class notes",0,0,Always,above 90,9.14,9.14,0,Excellent
4,CSE,Male,D,87,97,No,Yes,Just before exam,1,>5 hours,"Online Tutorials, Class notes",0,0,Never,80-90,7.3,7.3,0,Average
4,ECE,Male,H,88,83.2,Yes,Occasionally,Just before exam,0,2-5 hours,"Online Tutorials, Class notes, Textbook",4 & above,8,Occasionally,80-90,5,5,4,Low
4,ECE,Male,H,99,99,Maybe,Yes,Daily,3,<2 hours,"Online Tutorials, Class notes, Textbook",4 & above,5,Always,above 90,5.08,5.08,4,Low
4,CSE,Male,D,92,87,No,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,1,Occasionally,80-90,6.46,6.46,0,Below_average
4,CSE,Male,H,93,94.7,Maybe,Occasionally,Just before exam,1,>5 hours,Class notes,0,0,Occasionally,80-90,6.2,6.2,0,Below_average
4,CSE,Female,H,100,93.2,Maybe,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,80-90,9.53,9.53,0,Excellent
4,CSE,Male,H,90,85,Maybe,No,Just before exam,1,<2 hours,Class notes,0,0,Occasionally,80-90,6,6,0,Below_average
4,CSE,Male,H,95,96.4,Yes,Yes,Daily,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90,9.83,9.83,0,Excellent
4,CSE,Male,D,98,96.7,Yes,Yes,Just before exam,0,2-5 hours,"Online Tutorials, Class notes",0,0,Always,80-90,9.06,9.06,0,Excellent
4,CSE,Female,H,92,97,Yes,Occasionally,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,6,Occasionally,80-90,5.95,5.95,0,Low
4,EIE,Female,H,95.9,98,Maybe,Yes,Just before exam,0,2-5 hours,Class notes,0,0,Always,above 90,8.6,8.6,0,Excellent
4,CSE,Male,H,95,96.9,Yes,Occasionally,Just before exam,1,>5 hours,"Class notes, Textbook",0,0,Always,75-80,9.34,9.34,0,Excellent
4,CSE,Male,H,92,95.6,Yes,Yes,Just before exam,1,<2 hours,Class notes,0,0,Occasionally,above 90,6.8,6.8,0,Average
4,CSE,Male,H,88,91.5,Maybe,No,Just before exam,1,>5 hours,"Online Tutorials, Class notes",0,1,Never,above 90,6.51,6.51,0,Average
4,MEE,Male,H,99.97,99.97,No,No,Just before exam,0,>5 hours,Class notes,1,1,Occasionally,75-80 %,7.95,7.95,1,Average
4,CSE,Female,D,87,93,Maybe,Yes,Just before exam,0,2-5 hours,"Online Tutorials, Class notes",0,1,Never,80-90,7.4,7.4,0,Average
4,CSE,Female,D,95,91,Maybe,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90,8.09,8.09,0,Good
4,ECE,Male,H,95,96.9,Maybe,Occasionally,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,0,Occasionally,80-90 %,7.47,7.47,0,Average
4,CSE,Male,D,96,86,Yes,Yes,Just before exam,1,>5 hours,Class notes,0,0,Always,above 90 %,8.3,8.3,0,Good
4,CSE,Male,H,95,85,Maybe,No,Just before exam,0,>5 hours,Class notes,1,12,Never,75-80 %,5.8,5.8,1,Low
4,MEE,Male,D,80,69,No,No,Just before exam,0,>5 hours,Class notes,4 & above,10,Never,75-80 %,1,1,4,Low
4,CSE,Male,H,85,89,Maybe,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,0,Always,75-80 %,7.2,7.2,0,Average
4,CSE,Male,D,91.5,82.7,Yes,Yes,Just before exam,0,>5 hours,Online Tutorials,0,0,Occasionally,80-90 %,8.2,8.2,0,Good
4,CSE,Male,H,92,88.8,Yes,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes, Textbook",0,1,Occasionally,75-80 %,5.98,5.98,0,Low
4,CSE,Female,H,65,91.9,Yes,Occasionally,Just before exam,0,>5 hours,Class notes,0,0,Always,80-90 %,6.59,6.59,0,Average
4,CSE,Male,H,69,69,Yes,No,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,80-90 %,9.98,9.98,0,Excellent
4,CSE,Female,H,97,97.1,Maybe,Yes,Just before exam,2,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90 %,8.82,8.82,0,Excellent
4,CSE,Male,H,93,94.3,Yes,Yes,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,above 90 %,7.44,7.44,0,Average
4,CSE,Male,H,95,96.7,Yes,Occasionally,Just before exam,1,>5 hours,"Online Tutorials, Class notes",0,0,Always,above 90 %,7.52,7.52,0,Good
4,CSE,Male,D,89.5,90.2,Yes,Occasionally,Just before exam,2,2-5 hours,"Class notes, Textbook",0,0,Occasionally,80-90 %,8.67,8.67,0,Excellent
4,ECE,Female,H,100,93.4,Maybe,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,above 90 %,9.11,9.11,0,Excellent
4,CSE,Male,D,83,84,Maybe,Yes,Just before exam,1,2-5 hours,Textbook,4 & above,11,Never,80-90 %,5.07,5.07,4,Low
4,EIE,Female,H,84,78.6,No,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Always,80-90 %,7.15,7.15,0,Average
